Name
1 Evergreen needleleaf forests
2 Evergreen broadleaf forests
3 Deciduous needleleaf forests
4 Deciduous broadleaf forests
5 Mixed forests
6 Closed shrublands
7 Open shrublands
8 Woody savannas
9 Savannas
10 Grasslands
11 Permanent wetlands
12 Croplands
13 Urban and built-up lands
14 Cropland/natural vegetation mosaics
15 Snow and ice
16 Barren
17 Water bodies
