sfn,psi
"Naturally regenerated, unmanaged","Naturally regenerated, unmanaged"
"Naturally regenerated, managed","Naturally regenerated, managed"
"Plantation, managed",Orchard or plantation
"Plantation, unmanaged",Orchard or plantation
Orchard,Orchard or plantation
Urban,Urban
