sfn,psi
BSV,16 Barren
CRO,12 Croplands
CSH,6 Closed shrublands
CVM,14 Cropland/natural vegetation mosaics
DBF,4 Deciduous broadleaf forests
DNF,3 Deciduous needleleaf forests
EBF,2 Evergreen broadleaf forests
ENF,1 Evergreen needleleaf forests
MF,5 Mixed forests
OSH,7 Open shrublands
SAV,9 Savannas
URB,13 Urban and built-up lands
WET,11 Permanent wetlands
WSA,8 Woody savannas
